Latitud;Longitud
-38.68530000;-72.65509100
-38.68556000;-72.65461000
-38.68583770;-72.65455280
-38.68576000;-72.65197000
-38.68916000;-72.65504000
-38.68938800;-72.65478400
-38.69642000;-72.65495000
-38.69318780;-72.69696970
-38.70773870;-72.66510040
-38.70855000;-72.66522000
-38.70854000;-72.65507400
-38.71031000;-72.66069000
-38.71025200;-72.65985800
-38.71098400;-72.66360000
-38.70926000;-72.65250000
-38.71117100;-72.65997000
-38.71143300;-72.66066700
-38.71101800;-72.65663900
-38.71066300;-72.65328200
-38.71072000;-72.65345000
-38.71235600;-72.65842000
-38.71256940;-72.65791040
-38.71309700;-72.65868400
-38.71296000;-72.65746400
-38.71309520;-72.65629520
-38.71224650;-72.65134530
-38.71286500;-72.65361300
-38.71287000;-72.65344000
-38.71285500;-72.65322000
-38.71296470;-72.65086040
-38.71426000;-72.65580000
-38.71440870;-72.65316040
-38.71468700;-72.65268700
-38.71598000;-72.65908000
-38.71497000;-72.65270200
-38.70905830;-72.63587140
-38.71469900;-72.64933800
-38.71482800;-72.64953600
-38.71476500;-72.64889200
-38.71633200;-72.65534300
-38.71577800;-72.65249500
-38.70916010;-72.63372280
-38.71023110;-72.63472510
-38.71097600;-72.63598600
-38.71115900;-72.63589500
-38.71007500;-72.63366700
-38.71788000;-72.65345000
-38.71799300;-72.65380700
-38.71291700;-72.63730320
-38.71759540;-72.65086740
-38.71791000;-72.65027000
-38.71814020;-72.65047440
-38.71519700;-72.64047470
-38.71076160;-72.62886910
-38.71076000;-72.62665000
-38.71982000;-72.64634000
-38.71180920;-72.62735120
-38.72031600;-72.64613400
-38.72028100;-72.64579000
-38.71541500;-72.63307240
-38.71486430;-72.63067820
-38.71166000;-72.62510000
-38.70954140;-72.62209650
-38.71263490;-72.62648410
-38.71040600;-72.62320960
-38.70970900;-72.62059000
-38.71421000;-72.62667700
-38.71421200;-72.62666400
-38.71546900;-72.62879200
-38.71197000;-72.62197000
-38.71297510;-72.62265400
-38.71688000;-72.62846000
-38.71219000;-72.62087000
-38.71242000;-72.62114000
-38.71305060;-72.62194520
-38.71340700;-72.62141100
-38.72237900;-72.63795600
-38.71631540;-72.62414490
-38.71526300;-72.62081900
-38.72319000;-72.63464000
-38.71856600;-72.62497660
-38.72286600;-72.63277400
-38.71447800;-72.61795000
-38.72015000;-72.62642700
-38.71690000;-72.62089500
-38.71873000;-72.62379000
-38.71441900;-72.61682800
-38.71911000;-72.62388000
-38.71458140;-72.61685330
-38.71868500;-72.62207800
-38.72536100;-72.63109600
-38.72827620;-72.63840130
-38.72816010;-72.63790180
-38.72076200;-72.62140400
-38.72131900;-72.62230500
-38.72293300;-72.62521900
-38.72127500;-72.62210100
-38.72301000;-72.62518400
-38.72049700;-72.62039200
-38.72380100;-72.62538700
